name,addressBuilding,addressStreet,addressStreet2,addressCity,addressStateProvince,addressPostCode,addressCountry
Bloc Commercial Interiors Limited,The Long Barn,Down Farm,Cobham Park Road,Surrey,,KT11 3NE,United Kingdom
Blockfoil Limited,Greengate Industrial Estate,Greenside Way,Middleton,Manchester,,M24 1SW,United Kingdom
Blou Dynamic Limited,Moor Place,1 Fore Street Avenue,,London,,EC2Y 9DT,United Kingdom
BLP (Northern) Ltd,North Tyne Industrial Estate,Whitley Road,Benton,Newcastle,,NE12 9SZ,United Kingdom
Bluetree Group Limited,"Unit A,B & C - Brookfields Park",Manvers Way,Wath upon Dearne,Rotherham,,S63 5DR,United Kingdom
Bluseal Limited,"Unit P, Blackpole East",,,Worcester,,WR3 8SG,United Kingdom
BM Packaging Ltd,Crosland Road Industrial Estate,Netherton,,Huddersfield,,HD4 7DQ,United Kingdom
Bob Pedley Safety Services Limited,Unit 8 Conway Industrial Park,Skull House Lane Appley Bridge,,Wigan,Lancashire,WN6 9DW,United Kingdom
Bohr Limited,The Curve,Diamond Way,Stone Business Park,Stone,,ST15 0SD,United Kingdom
Bondloc (UK) Ltd,Bewdley Business Park,Long Bank,,Bewdley,Worcestershire,DY12 2TZ,United Kingdom
Booker Hill Projects Ltd,44 Carter Street,,,Uttoxeter,,ST14 8EU,United Kingdom
Border Archaeology Ltd,The Plaza,Owen Way,Leominster Enterprise Park,Leominster,,HR6 0LA,United Kingdom
Boss Design Limited (Boss Design Group),Building 44,Second Avenue,Pensnett Trading Estate,Dudley,,DY6 7UX,United Kingdom
Bowker Sadler Partnership Ltd,Hatherlow House,Hatherlow,Romiley,Stockport,,SK6 3DY,United Kingdom
Bramble Energy Limited,Atrium Court,Tilgate Business Park,Brighton Road,Crawley,,RH11 9BP,United Kingdom
Brentwood Auto Spares Ltd,Yard 2,Pools Lane,,Chelmsford,Essex,CM1 3QL,United Kingdom
Brick Fabrication Ltd,Gemini Works Estate Road,Pontnewynydd,,Pontypool,,NP4 6YW,United Kingdom
Bridge Media Productions Ltd,Saint Clere,1 Lakeview Stables,Kemsing,Sevenoaks,,TN15 6NL,United Kingdom
Brightstar Shotblasting and Coatings Limited,Newhall Road,,,Sheffield,South Yorkshire,S9 2QL,United Kingdom
Brightwell Systems Ltd,Saggar House,Princes Drive,Worcester,Worcestershire,,WR1 2PG,United Kingdom
